basin_id,PFAF_ID,upstream_area_km2,basin_area_km2,wetland_hex_count,wetland_area_hectares,total_carbon,protected_fraction,avg_ncp_score,composite_score,country,country_code
7060044360,732573,10042.5,10042.5,13403,988240.18,104702831.0,0.49,0.853,0.65,United States,US
7060020790,783909,12167.9,12167.9,14278,1052756.34,43764671.0,0.849,0.548,0.522,United States,US
7060019450,783703,6607.4,6607.4,9130,673180.1,23201061.0,0.916,0.595,0.477,United States,US
7060022280,713300,29723.3,29723.3,34095,2513918.45,107273425.0,0.129,0.848,0.622,Canada,CA
7060023480,713535,6019.8,6019.8,6839,504258.34,35544511.0,0.982,0.722,0.534,Canada,CA
7060021750,711900,17796.6,17796.6,20626,1520811.9,39927698.0,0.6,0.754,0.509,Canada,CA
7060051220,753715,63368.0,63368.0,56548,4169440.1,69798685.0,0.278,0.74,0.754,Mexico,MX
7060055630,771000,210.5,210.5,54,3981.57,0.0,1.0,1.053,0.513,Mexico,MX
7060050610,753309,267.6,267.6,324,23889.41,483846.0,1.0,1.029,0.51,Mexico,MX
4060154710,422499,41359.4,41359.2,44298,3266213.79,24410238.0,0.081,0.154,0.559,China,CN
4060213920,422416,20699.0,20698.2,28950,2134563.4,17984046.0,0.007,0.535,0.483,China,CN
4060006580,424901,415.9,415.9,700,51612.93,356741.0,0.843,1.023,0.474,China,CN
4060005050,424200,25245.3,25245.3,19424,1432185.13,4375953.0,0.28,0.805,0.769,South Korea,KR
4060003940,424102,23296.4,23296.4,19575,1443318.77,2199144.0,0.088,0.203,0.448,South Korea,KR
4060004110,424105,7446.8,7446.8,9071,668829.86,1000793.0,0.329,0.601,0.406,South Korea,KR
4060021590,444077,16587.4,16587.4,9276,683945.08,11754086.0,0.206,0.742,0.601,Thailand,TH
4060019420,444037,18525.5,18525.5,18449,1360295.69,8266017.0,0.133,0.602,0.587,Thailand,TH
4060018360,444020,28650.9,28650.2,13185,972166.44,5917277.0,0.449,0.598,0.55,Thailand,TH
2060051160,233023,34123.6,34123.6,50671,3736112.67,54955700.0,0.384,0.695,0.77,United Kingdom,GB
2060050420,233019,9946.3,9946.3,11472,845862.22,24518796.0,0.57,0.924,0.542,United Kingdom,GB
2060049690,233017,19221.9,19221.9,17785,1311337.13,28451190.0,0.371,0.687,0.482,United Kingdom,GB
2060021230,232305,24254.8,24254.8,13015,959631.87,7814810.0,0.258,0.505,0.691,France,FR
2060502920,232240,21027.9,21027.9,10562,778765.41,5727431.0,0.284,0.329,0.539,France,FR
2060536370,216026,20543.1,20543.1,9257,682544.16,3985500.0,0.365,0.502,0.522,France,FR
2060018360,231201,56432.9,15970.0,11281,831779.26,6304305.0,0.223,0.85,0.768,Spain,ES
2060615620,216042,22719.3,22718.7,7890,581751.47,5466492.0,0.312,0.547,0.606,Spain,ES
2060598470,216049,15112.4,15112.3,6344,467760.63,3294130.0,0.282,0.373,0.435,Spain,ES
6060247260,622830,622946.8,28476.9,37107,2736001.52,210847161.0,0.965,0.787,0.827,Brazil,BR
6060294360,622921,378762.4,61836.1,66825,4927191.67,142572413.0,0.571,0.835,0.771,Brazil,BR
6060287830,622941,270155.7,40923.6,50514,3724536.63,181332932.0,0.615,0.781,0.753,Brazil,BR
6060038660,661100,19189.2,19189.2,23408,1725936.44,63933206.0,0.901,0.617,0.802,Chile,CL
6060022920,661107,24501.8,24501.8,25871,1907540.23,44721318.0,0.937,0.556,0.738,Chile,CL
6060036010,661003,12087.9,12087.9,14465,1066544.37,36350722.0,0.999,0.798,0.698,Chile,CL
5060077790,569001,66030.8,66030.8,34047,2510379.27,95835397.0,0.51,0.819,0.832,Australia,AU
5060062580,562540,11228.9,11228.8,4487,330838.89,9224218.0,1.0,0.899,0.532,Australia,AU
5060075600,565560,2930.3,2930.2,15,1105.99,2407.0,1.0,1.053,0.513,Australia,AU
4060838850,452910,256374.3,21484.8,14005,1032627.3,16171226.0,0.0,0.802,0.501,India,IN
4060048470,446000,8463.1,8463.1,7253,534783.71,14458760.0,0.0,0.908,0.477,India,IN
4060865930,452700,320576.3,22704.7,21724,1601770.47,8452995.0,0.0,0.795,0.408,India,IN
